text,label
新,353
新炊,169
新炊间,551
新炊间黄,10
奉,2046
奉使,384
奉使推,17
奉使推能,1674
献,200
献号,1965
献号天,1208
献号天可,1028
乃,471
乃信,2285
乃信神,48
乃信神武,1331
齐,1298
齐鲁,1694
齐鲁青,1931
齐鲁青未,488
梅,3
梅径,1176
梅径香,1848
梅径香寒,436
梅径香寒蜂,1931
梅径香寒蜂未,1423
风,1964
风骚,1774
风骚共,384
风骚共推,1946
勤,278
勤王,667
勤王不,234
勤王不暂,1428
云,1962
云深,143
云深庙,1276
云深庙远,667
云深庙远不,1208
云深庙远不可,14
向,998
向来,1200
向来哀,1149
向来哀乐,1569
向来哀乐何,1248
向来哀乐何其,183
行,65
行歌,1956
行歌非,839
行歌非隐,156
蒲,602
蒲根,1536
蒲根水,1835
蒲根水暖,890
蒲根水暖雁,1238
蒲根水暖雁初,623
宗,1580
宗之,716
宗之潇,1416
宗之潇洒,1445
宗之潇洒美,43
宗之潇洒美少,1515
骜,667
骜不,1208
骜不可,711
营,1995
营幕,1764
营幕傍,1229
营幕傍临,452
营幕傍临月,2001
营幕傍临月窟,1848
杜,361
杜曲,399
杜曲幸,1498
杜曲幸有,1513
杜曲幸有桑,1910
杜曲幸有桑麻,438
移,463
移居,1728
移居近,506
移居近洞,1692
都,1546
都邑,1017
都邑固,1706
都邑固以,584
嵩,1686
嵩阳,1498
嵩阳有,910
嵩阳有故,1042
遍,2334
遍观,1379
遍观云,2211
遍观云梦,760
故,2074
故人,271
故人今,463
故人今居,1425
故人今居子,1741
故人今居子午,2234
空,634
空望,1065
空望郢,1919
空望郢门,169
童,2313
童颜,1355
童颜若,1208
童颜若可,1883
白,1845
白日,919
白日事,593
白日事长,2012
酒,667
酒不,662
酒不到,1485
酒不到刘,1413
酒不到刘伶,1258
酒不到刘伶坟,2120
酒不到刘伶坟上,899
高,65
高歌,80
高歌唱,97
高歌唱太,1474
西,750
西江,654
西江波,1517
西江波浪,1276
西江波浪远,2135
西江波浪远吞,561
大,1198
大儿,1664
大儿聪,2095
大儿聪明,662
水,2057
水花,1267
水花晚,1625
水花晚色,1195
暮,759
暮途,1002
暮途涕,370
暮途涕泗,977
被,2032
被褐,1374
被褐短,935
被褐短窄,224
被褐短窄鬓,1291
被褐短窄鬓如,1441
众,1296
众宾,1088
众宾皆,1750
众宾皆醉,1069
众宾皆醉我,1938
众宾皆醉我独,1957
李,202
李邕,1545
李邕求,2123
李邕求识,2114
渭,361
渭曲,1267
渭曲晚,87
渭曲晚旌,334
回,1506
回首,1291
回首如,667
回首如不,1751
倜,1371
倜傥,1928
倜傥权,1036
倜傥权奇,300
倜傥权奇难,460
倜傥权奇难具,2300
吹,1747
吹龙,973
故,2074
故人,1318
故人昔,839
故人昔隐,1304
故人昔隐东,2028
故人昔隐东蒙,1969
纵,1127
纵傲,667
纵傲不,1069
纵傲不我,1366
残,2057
残花,1349
残花烂,16
残花烂熳,911
残花烂熳开,1569
残花烂熳开何,2042
去,1275
去住,230
去住彼,484
去住彼此,1634
去住彼此无,1351
去住彼此无消,1394
衰,440
衰病,2072
衰病恨,1634
衰病恨无,17
毛,1034
毛为,527
毛为绿,1007
毛为绿缥,1295
毛为绿缥两,1680
毛为绿缥两耳,551
池,1852
池养,1015
池养右,1647
池养右军,155
朱,2242
朱轮,726
朱轮翠,1061
朱轮翠盖,667
朱轮翠盖不,1992
朱轮翠盖不胜,1767
同,1251
同辇,567
同辇随,1166
同辇随君,2175
同辇随君侍,1166
同辇随君侍君,891
飞,781
飞电,1609
飞电常,1699
飞电常在,815
世,919
世事,1295
世事两,1397
世事两茫,1397
孟,479
孟冬,874
孟冬十,1719
孟冬十郡,1051
孟冬十郡良,1643
孟冬十郡良家,1425
岁,521
岁晏,484
岁晏此,878
岁晏此中,2058
馆,105
馆是,1687
馆是招,291
馆是招贤,1143
隅,815
隅目,1694
隅目青,810
隅目青荧,1854
隅目青荧夹,1709
隅目青荧夹镜,677
构,1089
构厦,1939
构厦岂,1379
构厦岂云,413
邮,1203
邮亭,2097
邮亭世,1019
邮亭世自,1094
千,797
千岩,1780
千岩万,453
千岩万壑,2057
千岩万壑花,1088
千岩万壑花皆,1375
伏,2233
伏枥,1699
伏枥在,997
伏枥在坰,561
伏枥在坰空,798
伏枥在坰空大,717
劝,383
劝客,1960
劝客驼,1008
劝客驼蹄,487
旷,760
旷野,200
旷野号,401
旷野号禽,2125
弥,984
弥巴,1392
弥巴蔽,1430
青,105
青是,127
青是烽,2286
青是烽烟,323
青是烽烟白,2074
青是烽烟白人,685
惟,692
惟帝,1580
惟帝之,422
仙,1630
仙郎,1899
仙郎接,742
仙郎接献,328
两,664
两地,2338
两地差,1453
两地差池,2072
青,941
青鸟,392
青鸟飞,565
青鸟飞去,1704
青鸟飞去衔,1427
青鸟飞去衔红,406
张,2150
张翼,1600
张翼纵,1775
张翼纵漠,201
越,1013
越罗,1550
越罗蜀,2084
越罗蜀锦,2006
越罗蜀锦金,1473
越罗蜀锦金粟,2213
过,383
过客,1938
过客独,1947
过客独潸,1337
彭,1860
彭泽,1035
彭泽先,848
彭泽先生,1378
谁,674
谁怜,151
谁怜问,2010
谁怜问津,1674
銮,1512
銮刀,1553
銮刀缕,867
銮刀缕切,561
銮刀缕切空,918
銮刀缕切空纷,969
无,1377
无风,1278
无风坐,231
无风坐亦,1307
道,6
道林,576
道林才,667
道林才不,2097
野,2137
野童,1481
野童扶,1750
野童扶醉,557
已,772
已悲,1856
已悲素,588
已悲素质,567
已悲素质随,1199
已悲素质随时,1212
泥,1636
泥污,1207
泥污后,899
泥污后土,1569
泥污后土何,1199
泥污后土何时,900
平,201
平沙,1237
平沙际,1965
平沙际天,1988
猛,1980
猛虎,1367
猛虎落,1144
猛虎落陷,2330
双,1141
双行,1502
双行洛,1686
双行洛阳,1317
与,267
与尔,958
与尔同,181
与尔同销,1780
与尔同销万,2326
与尔同销万古,466
万,2230
万象,1379
万象云,641
万象云气,878
古,2092
古镇,1512
古镇刀,1475
古镇刀攒,1780
古镇刀攒万,1867
古镇刀攒万片,257
玉,2074
玉人,1569
玉人何,385
玉人何处,630
玉人何处教,559
玉人何处教吹,1927
州,948
州县,872
州县勤,278
州县勤王,919
主,2074
主人,911
主人开,968
主人开旧,979
去,1199
去时,2066
去时里,530
去时里正,2248
去时里正与,1424
去时里正与裹,1435
言,904
言避,272
言避一,1199
言避一时,1391
遗,1436
遗文,110
遗文宋,1526
遗文宋玉,764
迹,1801
迹籍,1864
迹籍台,2334
迹籍台观,968
还,1169
还伤,1882
还伤千,483
还伤千岁,1303
如,2193
如周,278
如周王,1732
如周王会,1679
七,1425
七子,2300
七子论,661
七子论诗,198
七子论诗谁,2104
七子论诗谁似,784
守,135
守臣,667
守臣不,1971
山,1508
山腰,2295
山腰度,532
山腰度石,560
各,1498
各有,51
各有稻,10
各有稻粱,773
饥,261
饥鹰,1931
饥鹰未,1763
饥鹰未饱,734
黄,988
黄尘,2225
黄尘翳,201
黄尘翳沙,1775
放,65
放歌,766
放歌颇,466
放歌颇愁,1581
烹,1384
烹羊,603
烹羊宰,1335
烹羊宰牛,2115
烹羊宰牛且,1034
烹羊宰牛且为,1149
阻,1377
阻风,878
阻风中,90
阻风中酒,107
阻风中酒过,1515
阻风中酒过年,1515
纨,1233
纨袴,667
纨袴不,133
纨袴不饿,54
倒,677
倒悬,700
倒悬瑶,1453
倒悬瑶池,1505
流,1048
流泉,400
流泉绕,880
流泉绕砌,711
蕴,2073
蕴真,176
蕴真惬,297
蕴真惬所,50
乘,1896
乘陵,767
乘陵破,542
乘陵破山,1919
烟,923
烟容,911
烟容开,1276
烟容开远,1210
短,975
短衣,1626
短衣匹,718
短衣匹马,567
短衣匹马随,1079
短衣匹马随李,1209
岂,1938
岂独,1113
岂独感,118
岂独感恩,1423
傲,257
傲霜,11
累,550
累累,373
累累塠,2257
累累塠阜,2102
累累塠阜藏,2284
累累塠阜藏奔,1853
诸,1556
诸翁,207
诸翁乃,203
诸翁乃仙,1350
脱,1184
脱帽,894
脱帽露,1937
脱帽露顶,278
脱帽露顶王,784
脱帽露顶王公,359
我,247
我辈,1228
我辈复,1220
我辈复登,1229
罗,2054
罗帏,838
罗帏夕,1931
罗帏夕未,561
但,1671
但恐,312
但恐芳,885
但恐芳菲,1634
但恐芳菲无,530
但恐芳菲无正,1625
年,902
年华,1228
年华复,1699
年华复在,1259
连,327
连穹,1470
门,1634
门无,1373
门无俗,835
门无俗士,1608
至,271
至今,682
至今斑,1760
至今斑竹,1229
至今斑竹临,750
至今斑竹临江,920
日,334
日旗,1747
日旗龙,84
日旗龙旆,762
日旗龙旆想,1390
日旗龙旆想飘,1717
已,1228
已复,593
已复长,2100
已复长虾,2083
琳,1454
琳琅,2149
琳琅愈,1694
琳琅愈青,810
朱,2313
朱颜,231
朱颜亦,342
朱颜亦已,1365
诗,1326
诗看,1425
诗看子,1457
诗看子建,657
丹,1812
丹灶,1238
丹灶初,911
丹灶初开,414
楚,278
楚王,1247
楚王憔,1491
楚王憔悴,688
楚王憔悴魂,1604
楚王憔悴魂欲,181
新,1796
新鬼,467
新鬼烦,591
新鬼烦冤,968
新鬼烦冤旧,1796
新鬼烦冤旧鬼,2331
主,2128
主将,1487
主将泪,2122
主将泪洗,115
主将泪洗鞭,1435
主将泪洗鞭头,2216
帟,1995
帟幕,1821
帟幕英,2004
帟幕英僚,1003
乏,1674
乏者,1567
智,1667
智勇,769
智勇伏,775
智勇伏囚,2141
生,1609
生常,1000
生常免,2293
生常免租,945
荣,464
荣期,1149
荣期乐,1019
荣期乐自,183
慷,665
慷慨,2282
慷慨匡,1199
慷慨匡时,1340
边,1897
边氓,1159
遥,1016
遥见,532
遥见石,1932
遥见石梁,329
知,1166
知君,484
知君此,199
知君此计,2208
知君此计成,593
知君此计成长,95
呼,1198
呼儿,2128
呼儿将,955
呼儿将出,1094
呼儿将出换,1445
呼儿将出换美,90
不,1862
不爱,1168
不爱好,1410
不爱好光,902
花,637
花蕊,2179
花蕊四,1199
花蕊四时,312
东,1846
东园,1744
东园桃,1079
东园桃李,1867
东园桃李片,1199
东园桃李片时,1767
烟,414
烟火,1229
烟火临,1848
烟火临寒,1703
冯,1896
冯陵,798
冯陵大,625
冯陵大叫,165
冯陵大叫呼,1252
冯陵大叫呼五,323
鸳,1422
鸳鸯,1453
鸳鸯池,2120
鸳鸯池上,1295
鸳鸯池上两,1295
鸳鸯池上两两,392
埙,1284
埙篪,1916
埙篪实,1273
埙篪实弟,1861
人,1303
人心,357
人心本,1634
人心本无,1751
力,1208
力可,1706
力可以,2144
或,545
或傅,2077
或傅于,1054
惟,2074
惟人,1580
惟人之,2304
遂,343
遂令,798
遂令大,1426
遂令大奴,1306
遂令大奴守,1965
遂令大奴守天,1697
昨,2018
昨夜,2128
昨夜将,1647
昨夜将军,1455
昨夜将军连,816
昨夜将军连晓,1167
魏,2315
魏阙,2166
魏阙衡,1919
魏阙衡门,2191
魏阙衡门路,1019
魏阙衡门路自,1063
郑,1616
郑氏,576
郑氏才,2238
郑氏才振,2326
霸,1449
霸主,223
霸主业,1931
霸主业未,387
艰,300
艰难,2097
艰难世,919
艰难世事,279
咫,2213
咫尺,1323
咫尺但,466
咫尺但愁,1107
咫尺但愁雷,313
咫尺但愁雷雨,2027
定,1196
定厥,1331
况,348
况闻,1785
况闻内,2006
况闻内金,138
临,1377
临风,1623
临风三,1315
临风三嗅,477
临风三嗅馨,1176
临风三嗅馨香,1631
闻,1166
闻君,231
闻君亦,183
闻君亦多,1113
野,2074
野人,860
野人对,1479
野人对膻,956
烈,1794
烈烈,278
烈烈王,1674
烈烈王者,866
云,2295
云度,527
云度绿,888
云度绿溪,678
圣,378
圣朝,231
圣朝亦,1423
圣朝亦知,214
圣朝亦知贱,835
圣朝亦知贱士,1804
知,105
知是,1037
知是相,784
知是相公,1647
君,667
君不,1016
君不见,551
君不见黄,895
君不见黄河,1580
君不见黄河之,1536
君不见黄河之水,1965
君不见黄河之水天,2120
君不见黄河之水天上,998
迹,2110
迹辱,688
迹辱魂,225
迹辱魂惭,1168
迹辱魂惭好,1019
迹辱魂惭好自,2245
恩,31
恩义,958
恩义同,96
恩义同钟,1079
半,153
半陂,342
半陂已,1157
半陂已南,1700
半陂已南纯,1720
半陂已南纯浸,542
况,105
况是,1694
况是青,1767
况是青春,1845
况是青春日,2128
况是青春日将,1589
许,2014
许身,272
许身一,1569
许身一何,1405
壮,1056
壮夫,1199
壮夫时,248
壮夫时屈,959
九,899
九土,836
时,998
时来,645
时来憩,2284
时来憩奔,330
苔,19
苔矶,561
苔矶空,989
苔矶空属,1123
苔矶空属钓,1743
苔矶空属钓鱼,1630
避,1223
避楫,1199
避楫时,1534
避楫时惊,485
漱,453
漱壑,996
漱壑松,283
漱壑松柏,1464
亦,667
亦不,1034
亦不为,138
亦不为盘,1540
勍,1674
勍者,1942
予,231
予亦,2128
予亦将,800
予亦将琴,1080
君,513
君莫,89
君莫笑,1485
君莫笑刘,2019
君莫笑刘毅,642
君莫笑刘毅从,998
君莫笑刘毅从来,246
君莫笑刘毅从来布,975
君莫笑刘毅从来布衣,2316
竹,6
竹林,1962
竹林深,1257
竹林深笋,1086
君,667
君不,1016
君不见,576
君不见才,835
君不见才士,1538
君不见才士汲,451
君不见才士汲引,300
池,1203
池亭,1252
池亭五,452
池亭五月,911
水,864
水精,1580
水精之,138
水精之盘,1141
水精之盘行,1856
水精之盘行素,793
壶,90
壶酒,386
壶酒朋,132
壶酒朋情,1117
骏,175
骏尾,936
骏尾萧,2079
骏尾萧梢,1444
骏尾萧梢朔,1377
骏尾萧梢朔风,1140
咸,12
咸称,1965
咸称天,1425
咸称天子,2285
惜,1166
惜君,553
惜君只,1604
惜君只欲,417
惜君只欲苦,54
惜君只欲苦死,2130
鸡,1877
鸡犬,522
鸡犬图,1679
鸡犬图书,1774
鸡犬图书共,272
鸡犬图书共一,663
汝,1350
汝伯,1569
汝伯何,843
汝伯何由,478
汝伯何由发,1291
汝伯何由发如,2198
容,1182
容思,711
容思回,6
容思回林,997
伊,2074
伊人,1235
伊人强,1076
伊人强猛,1595
伊人强猛犹,1291
伊人强猛犹如,484
梅,1071
梅衰,1931
梅衰未,1145
梅衰未减,280
炎,452
炎月,2148
炎月北,2065
炎月北窗,992
吾,712
吾道,1606
吾道昧,297
吾道昧所,1091
群,1300
群冰,642
群冰从,472
群冰从西,992
尚,674
尚怜,439
尚怜终,1157
尚怜终南,542
心,965
心清,348
心清闻,362
心清闻妙,1176
秦,1299
秦皇,667
秦皇不,391
秦皇不肯,64
秦皇不肯敛,1333
秦皇不肯敛手,992
秦皇不肯敛手下,201
秦皇不肯敛手下沙,605
树,38
树羽,1229
树羽临,1272
树羽临九,1324
忍,1034
忍为,988
忍为尘,396
忍为尘埃,1057
至,2038
至竟,750
至竟江,542
至竟江山,198
至竟江山谁,105
至竟江山谁是,1449
取,89
取笑,958
取笑同,2261
取笑同学,1556
铺,2033
铺施,903
铺施芟,619
泛,1692
泛湖,958
泛湖同,1031
泛湖同逸,412
江,1692
江湖,1750
江湖醉,1689
江湖醉渡,874
江湖醉渡十,1515
江湖醉渡十年,1767
因,363
因声,1295
因声两,1161
因声两京,968
武,1299
武皇,911
武皇开,2026
武皇开边,258
武皇开边意,1931
武皇开边意未,342
云,1107
云雷,484
云雷此,667
云雷此不,342
旁,2074
旁人,1423
旁人知,450
旁人知妾,1034
旁人知妾为,1449
旁人知妾为主,2037
奋,392
奋飞,2185
奋飞既,2253
奋飞既胡,967
借,151
借问,271
借问今,1569
借问今何,1865
清,1303
清心,2094
清心听,1584
清心听鸣,41
刘,2307
刘侯,1965
刘侯天,516
刘侯天机,864
树,400
树绕,1256
树绕温,1048
树绕温泉,527
喜,1710
喜逢,2006
喜逢金,718
喜逢金马,383
念,2251
念兹,561
念兹空,593
念兹空长,798
念兹空长大,347
念兹空长大枝,1915
中,1498
中有,1203
中有亭,1203
中有亭亭,688
海,1785
海内,484
海内此,1203
海内此亭,2326
东,2243
东流,1034
东流为,741
东流为汉,301
雄,1377
雄风,848
飞,45
飞动,1645
飞动摧,1234
飞动摧霹,1815
遣,2152
遣辞,1855
遣辞必,878
遣辞必中,1994
北,2120
北上,2111
北上唯,899
北上唯土,542
马,1625
马色,1649
马色虽,667
马色虽不,958
稚,1425
稚子,1634
稚子无,1438
稚子无忧,330
稚子无忧走,1377
稚子无忧走风,313
但,1688
但觉,1131
但觉高,65
但觉高歌,1498
但觉高歌有,1796
但觉高歌有鬼,2285
截,2243
截流,752
截流宁,606
截流宁假,1223
招,2226
招摇,1734
招摇耀,893
驱,718
驱马,2096
驱马却,1260
驱马却迟,1260
挂,1529
挂帆,466
挂帆愁,697
挂帆愁海,2191
商,102
商女,667
商女不,1423
商女不知,585
商女不知亡,1748
商女不知亡国,2072
惯,2280
惯捷,514
惯捷瓶,2120
惯捷瓶上,1333
自,1498
自有,1295
自有两,1198
自有两儿,1630
筹,1795
筹笔,928
筹笔驿,344
筹笔驿沉,1182
为,1546
为邑,399
为邑幸,998
为邑幸来,1159
挂,915
挂席,160
挂席樵,1377
挂席樵风,925
此,1199
此时,472
此时西,565
此时西去,1400
此时西去定,1291
此时西去定如,1569
惊,761
惊燕,231
惊燕亦,1534
惊燕亦惊,498
邮,1203
邮亭,921
邮亭寄,2074
邮亭寄人,2097
秋,1018
秋猿,806
秋猿嗥,806
秋猿嗥嗥,1845
秋猿嗥嗥日,2128
秋猿嗥嗥日将,838
黄,2341
黄鹂,2295
黄鹂度,844
黄鹂度结,1811
天,678
天阴,313
天阴雨,736
天阴雨湿,363
天阴雨湿声,1255
天阴雨湿声啾,1255
重,2120
重上,1166
重上君,1425
重上君子,879
濡,1706
濡以,1817
濡以鸿,1860
不,2248
不与,480
不与八,1768
不与八骏,355
不与八骏俱,1035
不与八骏俱先,1584
三,1252
三五,495
三五二,480
三五二八,2215
三五二八盈,1277
三五二八盈又,413
夜,1724
夜卧,1131
夜卧高,605
夜卧高丘,2211
夜卧高丘梦,2285
夜卧高丘梦神,102
瑶,1605
瑶轩,533
瑶轩绮,1811
瑶轩绮构,1569
瑶轩绮构何,2203
瑶轩绮构何崔,2068
臣,39
臣靖,1477
臣靖执,593
臣靖执长,715
云,314
云车,918
云车纷,43
云车纷少,2130
羽,6
羽林,1037
羽林相,993
羽林相摩,356
邂,1053
邂逅,1939
邂逅岂,1659
邂逅岂即,1956
邂逅岂即非,1051
邂逅岂即非良,522
苔,410
苔涧,1767
苔涧春,1048
苔涧春泉,1829
到,1850
到扉,911
到扉开,1228
到扉开复,1978
坐,2094
坐听,323
坐听白,72
坐听白雪,80
人,848
人生,667
人生不,1037
人生不相,1016
近,784
近公,1291
近公如,323
近公如白,72
笑,1963
笑语,958
笑语同,271
笑语同今,838
乃,105
乃是,2088
乃是蒲,544
乃是蒲城,1796
乃是蒲城鬼,2285
乃是蒲城鬼神,1952
二,1515
二年,383
二年客,1304
二年客东,1054
提,1965
提天,1001
顺,1580
顺之,2077
顺之于,157
主,2074
主人,1870
主人念,1408
主人念老,718
十,1515
十年,955
十年出,1995
十年出幕,2207
天,394
天厩,2073
天厩真,1747
天厩真龙,484
天厩真龙此,1248
天厩真龙此其,1244
岑,1056
岑夫,1425
去,1515
去年,1131
去年高,347
去年高枝,1595
去年高枝犹,2127
去年高枝犹压,664
桔,758
桔槔,127
桔槔烽,414
桔槔烽火,2003
桔槔烽火昼,667
桔槔烽火昼不,1745
暮,567
暮随,66
暮随肥,718
暮随肥马,988
久,383
久客,2022
久客殊,1931
久客殊未,711
扶,450
扶妾,620
扶妾遣,1451
扶妾遣升,879
扶妾遣升堂,2120
扶妾遣升堂上,799
无,1228
无复,967
无复越,431
无复越乡,1438
恐,753
恐惧,26
恐惧弃,942
恐惧弃捐,898
恐惧弃捐忍,847
恐惧弃捐忍羁,412
今,1580
今之,1822
今之画,522
今之画图,1634
今之画图无,207
今之画图无乃,105
游,1425
游子,561
游子空,907
游子空嗟,2012
游子空嗟垂,495
游子空嗟垂二,1953
美,2074
美人,667
美人不,1016
美人不见,466
美人不见愁,2074
美人不见愁人,1303
元,641
元气,2244
元气淋,262
元气淋漓,1570
元气淋漓障,1595
元气淋漓障犹,736
圣,2074
圣人,1308
弱,483
弱岁,1786
弱岁早,1220
弱岁早登,1747
曲,750
曲江,726
曲江翠,1995
曲江翠幕,1029
曲江翠幕排,37
曲江翠幕排银,1950
蚩,2245
蚩尤,770
蚩尤塞,1848
蚩尤塞寒,561
琉,235
琉璃,96
立,1220
立登,1150
立登要,2191
立登要路,2010
士,499
士元,183
士元多,322
士元多赏,1946
会,208
会当,1696
会当凌,1581
会当凌绝,1937
明,1845
明日,1751
明日隔,542
明日隔山,2157
孝,157
孝理,340
孝理敦,1748
孝理敦国,1224
乞,414
乞火,1634
乞火无,2074
乞火无人,1308
乞火无人作,1280
乞火无人作蒯,1154
雨,878
雨中,1958
雨中百,365
雨中百草,1849
雨中百草秋,1349
雨中百草秋烂,54
阴,1686
阴阳,298
阴阳割,924
阴阳割昏,816
金,1921
金支,726
金支翠,334
金支翠旗,1410
金支翠旗光,1498
金支翠旗光有,1634
高,2300
高论,513
高论莫,17
高论莫能,328
英,85
英雄,1498
英雄有,1199
英雄有时,231
英雄有时亦,1291
英雄有时亦如,484
狭,2191
狭路,988
狭路尘,169
狭路尘间,442
狭路尘间黯,2128
狭路尘间黯将,1589
官,1689
官渡,1277
官渡又,938
官渡又改,2217
虔,1242
虔栗,1242
云,1724
云卧,975
云卧衣,263
云卧衣裳,646
纷,918
纷纷,1246
纷纷轻,946
纷纷轻薄,1569
纷纷轻薄何,927
纷纷轻薄何须,755
自,2128
自将,1766
自将磨,2122
自将磨洗,1281
自将磨洗认,359
自将磨洗认前,378
尺,1679
尺书,17
尺书能,667
尺书能不,1322
已,1073
已佩,276
已佩含,586
已佩含景,1987
已佩含景苍,864
已佩含景苍精,1747
折,1471
折戟,2025
折戟沈,201
折戟沈沙,1501
折戟沈沙铁,1931
折戟沈沙铁未,181
田,1846
田园,1699
田园在,741
田园在汉,678
顾,1069
顾我,1194
顾我劳,848
